Year,Month,Temp
2009,1,35.001545454545465
2009,2,36.44466666666668
2009,3,41.0419
2009,4,48.180799999999984
2009,5,59.70745454545452
2009,6,64.1736
2009,7,72.56039999999997
2009,8,71.78470000000002
2009,9,68.31350000000002
2009,10,47.436727272727275
2009,11,44.031800000000004
2009,12,28.548899999999993
2010,1,33.9397
2010,2,34.5434
2010,3,44.155300000000004
2010,4,48.56109999999997
2010,5,53.70580000000004
2010,6,65.22770000000001
2010,7,73.46063636363637
2010,8,71.77920000000002
2010,9,66.8267
2010,10,54.85999999999999
2010,11,39.26079999999999
2010,12,33.366090909090914
2011,1,33.0557
2011,2,31.056111111111115
2011,3,40.69154545454546
2011,4,45.851600000000005
2011,5,52.869499999999995
2011,6,64.2261
2011,7,72.72040000000001
2011,8,74.23472727272728
2011,9,67.54720000000003
2011,10,53.63940000000002
2011,11,40.04940000000001
2011,12,34.07770000000001
2012,1,35.18872727272727
2012,2,36.36166666666666
2012,3,44.80063636363638
2012,4,51.753499999999995
2012,5,59.835899999999995
2012,6,68.26420000000002
2012,7,74.05299999999997
2012,8,74.3911818181818
2012,9,67.80479999999999
2012,10,53.06499999999999
2012,11,43.815099999999994
2012,12,33.6585
2013,1,32.86045454545456
2013,2,34.27933333333333
2013,3,42.26140000000001
2013,4,48.81849999999998
2013,5,58.35763636363634
2013,6,70.17069999999998
2013,7,75.10390000000002
2013,8,72.6095
2013,9,64.70430000000002
2013,10,51.28218181818179
2013,11,41.4753
2013,12,32.24609999999999
2014,1,36.1302
2014,2,34.26519999999998
2014,3,41.523
2014,4,49.584900000000005
2014,5,59.01979999999999
2014,6,67.13220000000001
2014,7,74.6158181818182
2014,8,70.3439
2014,9,66.13139999999999
2014,10,57.67060000000001
2014,11,41.219000000000015
2014,12,35.46963636363636
2015,1,36.11650000000001
2015,2,38.83788888888889
2015,3,46.72345454545454
2015,4,50.43550000000002
2015,5,57.20009999999999
2015,6,71.54919999999998
2015,7,71.5873
2015,8,73.77263636363635
2015,9,67.22420000000001
2015,10,55.33249999999999
2015,11,39.9029
2015,12,33.493399999999994
2016,1,32.83972727272728
2016,2,40.53022222222223
2016,3,44.11409090909091
2016,4,52.03909999999998
2016,5,57.39240000000004
2016,6,71.3509
2016,7,74.24740000000001
2016,8,72.44554545454547
2016,9,63.907099999999986
2016,10,54.08269999999997
2016,11,46.88609999999998
2016,12,30.2243
2017,1,30.781727272727284
2017,2,36.67766666666667
2017,3,44.566999999999986
2017,4,49.45080000000001
2017,5,58.39072727272728
2017,6,69.46829999999999
2017,7,75.74140000000003
2017,8,73.31209999999999
2017,9,64.69069999999996
2017,10,55.70045454545454
2017,11,43.63339999999998
2017,12,35.3623
2018,1,35.6683
2018,2,34.742999999999995
2018,3,40.80660000000001
2018,4,49.5881
2018,5,62.221100000000014
2018,6,68.47530000000003
2018,7,76.16381818181819
2018,8,73.68430000000001
2018,9,67.77939999999998
2018,10,51.40217391304349
2018,11,41.296899999999994
2018,12,32.74136363636364
