Visits,Temp
121218,26.502354545454544
118862,28.320533333333334
216540,35.111427272727276
654886,45.566700000000004
1752955,56.778209090909094
3572896,62.037800000000004
6024656,69.8082090909091
6559649,69.51832727272728
4674580,63.92009999999999
3281930,53.312154545454554
423419,42.4333
115486,32.14465454545455
118630,27.301599999999997
121915,28.544544444444444
159414,35.81879090909091
313459,44.698
1326873,53.720836363636366
3999276,61.71139999999999
7187960,72.01449090909091
6517139,71.25271818181818
3670005,61.328700000000005
646358,45.55765858585859
176506,33.5822
121920,23.774945454545453
1708473,54.73544545454545
1784964,56.19665555555555
3880923,65.15824545454545
4334325,69.5378
4973679,77.74022727272725
6072154,92.6261
7150969,93.19597272727273
6766616,90.6327
5008010,85.71529999999998
4092141,73.15390808080808
2696885,62.457499999999996
2433736,52.545772727272734
444698,26.082845454545456
431903,29.255744444444446
497906,38.04126363636364
507509,44.843599999999995
2120535,55.38720000000001
5276207,66.9912
6914731,76.11616363636362
6239256,74.45015454545454
4426112,66.8178
1570160,49.83714040404041
400125,34.9423
421340,23.68187272727273
3107879,37.135718181818184
3246409,42.89132222222222
5872861,50.04855454545454
7759115,60.5514
8824781,67.4453
12870093,73.21940000000001
14254305,74.41001818181819
11142707,73.89263636363637
10508244,68.9434
12153435,59.75584545454545
7087231,49.750299999999996
5062098,41.437063636363646
905127,32.03416363636363
899810,32.39524444444445
1139227,34.70463636363637
1521053,39.2718
2926780,46.57111818181819
4009449,50.9369
5250776,58.9909909090909
7379777,59.88234545454545
3863159,53.513299999999994
1673822,43.11106565656566
1035881,34.1782
797216,29.37421818181818
849468,29.781990909090915
734564,28.816100000000006
1082942,39.47303636363636
1066915,42.5224
2355584,50.88002727272726
5782218,66.1056
7685396,69.00624545454546
6710795,67.21574545454544
5528643,61.1872
2689584,47.80375353535353
1017363,37.1508
808333,26.968200000000003
268534,24.722254545454547
309883,27.328588888888884
207263,36.21966363636364
359538,41.9319
3288794,51.13142727272727
7172517,61.767399999999995
9204224,71.14178181818183
8117352,69.48631818181818
5980079,61.503600000000006
1831885,45.17347272727273
135255,31.4307
190028,21.424554545454548
1152885,39.75721818181818
1213605,39.27566666666667
1650772,42.63289090909092
2570985,47.8904
3921859,53.10585454545454
5399909,64.12840000000001
6337330,71.6834090909091
6256463,70.69637272727273
5151802,66.25729999999999
3651685,54.547976767676765
1767941,44.2165
1467685,37.05699090909091
734676,43.5289909090909
869048,44.714755555555556
2491964,53.476418181818175
3549783,57.449900000000014
3831907,65.9402181818182
4287044,80.51400000000001
4457797,83.8867909090909
4089086,81.33047272727272
3872787,75.7426
3086670,62.13596565656566
1726165,51.4289
969460,40.780018181818185
